id,title,description,start_date,language
51296,Mechanisms of neurovascular coupling in the diabetic retina,"Diabetes is a metabolic condition characterized by high glucose levels (hyperglycemia) due to the body’s inability to produce or adequately respond to insulin. Diabetes can cause various long-term complications in many organs, including the retina. Diabetic retinopathy (DR) is a leading cause of blindness in working-age adults, and a third of diabetic patients worldwide will develop DR. In the retina, sustained elevated glucose levels cause microangiopathies and contribute to neuroinflammation, vascular permeability and neuronal death that translates to vision loss. Although hyperglycemia is an indisputable driver of diabetic retinopathy, other risk factors are also at play. Arterial stiffness in large arteries (aorta, carotids), for instance, is emerging as a strong risk factor for CNS deterioration with aging. More importantly, several studies have showed that arterial stiffness occurs in pre-diabetes, and other epidemiological studies have demonstrated a link between arterial stiffness and worsened disease progression after the onset of diabetes. Although clinical evidence links increased arterial stiffness in major vessels (aorta, carotid) to the breakdown of the small vessels in the CNS (including the retina), we lack mechanistic understanding of 1) how arterial stiffness could exactly promote microangiopathies, including DR, and 2) whether resolving stiffness could serve as a preventive/palliative measure to diabetes complications such as DR. This project will study the impact diabetic retinopathy in a novel model that combines hyperglycemia with arterial rigidity using histological and molecular approaches.",2027-05-03,English
51305,Design of special optical fibers via AI inverse-design methods,"The goal of this project is to apply the inverse design optimization method to optical fiber design in order to explore unconventional and high-performance designs. The work will involve using existing inverse design algorithms and libraries (e.g., in Python or Matlab) and adapting them to the project's objective: optimizing the predicted optical properties of fibers for high-speed communication. These optical properties will be calculated (i.e., validated) using finite element analysis software (e.g., COMSOL Multiphysics). Communication and programming work to run certain long calculations via a supercomputer cluster hosted at Calcul Québec will also be investigated.",2027-05-10,English
51308,Quantum photonics and cryptography optical fiber,"1) Characterization of the biphoton source (pair generation rate, bandwidth, stability) 2) Proof of Bell's violation through visibility measurement 3) Measurement of quantum state tomography and corresponding density matrix 4) Demonstration of quantum key distribution protocol For each of the experiments, the intern will write a technical report using the scientific writing style. A final project report will be provided to the supervisor.",2027-05-10,English
51310,Development of fused optical fiber components for photonic applications,"Various optical manipulations and characterizations will be explored during this internship. Specifically: - fusion of standard (e.g., solid-core) and non-standard optical fibers (e.g., weakly multimode and microstructured), fabrication of single-mode and multimode couplers, and fabrication of photonics/fiber arrays using a state-of-the-art Glass fusion processing setup. A specific training will be provided for using the setup. - Characterization of fiber components using lasers, spectrometers, infrared cameras, and photodiodes. Technical support will be provided to help the intern realize these tasks. - Review of the technical literature related to the internship topic and the required experimental procedures. - Writing detailed technical reports on the laboratory procedures in a scientific style.",2027-05-10,English
51325,Microcirculation,"You'll get to work with some really smart graduate students on some cool projects. One project is all about how changes in the shape, rigidity, or age of red blood cells affect how they move through tiny blood vessels. We want to understand how these changes impact our health. Another project is focused on how red blood cells interact with each other and affect how thick or thin the blood is in specific areas. This is important because it can impact how well oxygen and nutrients are delivered throughout the organs. And finally, we're exploring how red blood cells flow through different types of networks in the body. This kind of research can help us understand how blood moves through our bodies and how we can design better treatments for diseases that affect circulation. Keywords: Fluid mechanics, biomedical engineering, microcirculation, blood rheology, microfluidics, disease pathophysiology, medical treatments.",2027-05-02,Either
51340,Plasticity in the chemical senses (1),In this project we aim to better understand the effects of training on olfactory acuity in sommelier students. We will compare their olfactory abilities before and after their 1.5. yrs. training. We will thoroughly assess their olfactory and non-olfactory abilities. We will compare first and second assessment in the subject group as well as in a control group.,2027-06-15,Either
51342,Recovery of Postural Control in People with MS,"This project investigates whether transcutaneous spinal stimulation (TSS) can improve postural stability in people with multiple sclerosis (MS). Postural instability affects approximately 50% of individuals at MS onset, increasing fall risk and reducing quality of life. Current pharmaceutical treatments do little to address these sensorimotor symptoms. TSS is a non-invasive technique that delivers electrical stimulation to the spinal cord through surface electrodes, enhancing the responsiveness of spinal sensorimotor networks. Our previous work has demonstrated that TSS can improve postural stability in people with MS and alter brain activation patterns during stability tasks. The project has three aims. First, we will use TSS to probe differences in spinal sensorimotor function between individuals with MS and neurologically healthy controls, and test whether TSS acutely improves anticipatory and reactive postural responses during perturbation and limits-of-stability tasks. Second, we will use simultaneous TSS and fMRI to examine how stimulation modulates brain activation and functional connectivity within sensorimotor circuits, linking these neural measures to clinical and postural outcomes. Third, we will conduct a 12-week feasibility study integrating TSS-assisted balance training with a structured exercise program for individuals with MS, assessing recruitment, adherence, and retention alongside exploratory measures of postural stability and quality of life. The student will gain experience with TSS, electromyography, motion capture, force-plate-based postural assessments, and neuroimaging, while working within an interdisciplinary team that includes physiatrists, neurologists, biomechanists, and psychologists. This project will generate the mechanistic and feasibility evidence needed to establish TSS as a low-cost, accessible therapeutic intervention for postural instability in MS.",2027-06-01,English
51383,Studying the shape recovery in shape memory alloys,"This project investigates the relationship between microstructure and shape recovery in novel Ni-free shape memory alloys (SMAs). Through advanced characterization techniques like Scanning electron microscopy, X-ray diffraction and image analysis, we will analyze microstructural features such as austenite and martenisitic phases that are responsible for the exhibition of shape memory behavior. We will also study their evolution under various heat treatments and mechanical processes. Mechanical testing (tensile, compression, cyclic loading) and thermal analysis (DSC) will evaluate the alloys' mechanical properties and shape recovery behavior. The goal is to enhance our understanding of how microstructural changes influence Shape memory effect and mechanical performance, informing the development of improved SMA materials for medical, aerospace, and actuator applications. As a MITACS undergraduate student, you will engage in sample preparation, testing, and data analysis, working closely with a multidisciplinary research team.",2027-06-01,English
51384,3D printed vs conventional steels for lightweighting applications,"Fusion based additive manufacturing or 3D printing of metallic alloys can create complex designs and geometries rendering the built parts suitable for a myriad of applications. Specifically, metal 3D printing is deemed extremely beneficial in biomedical applications where patient-specific customization is possible. In this regard, maraging steels alloys are ultra-high-strength, low-carbon iron-nickel alloys known for superior toughness, weldability, and dimensional stability during heat treatment. They are primarily used in critical aerospace, defense, and high-performance engineering applications. However, additively manufactured alloys pose certain limitations such as porosities and defects in as-built parts due to the solidification microstructures. To fully understand the additively manufactured maraging steels and leverage the design flexibility with AM, we propose to test solid and lattice geometries of AM maraging steels alongside traditional steels and contrast them in terms of their processing, structure and properties. detailed microstructural characterization will be performed to understand the complicated processing history during metal 3D printing and ascertain the properties. For the microstructural characterization, the student will use world-class microscopy facilities such as Field Emission Scanning Electron Microscope and X-ray diffractometer at CAMTEC. Additionally, the steels will be tested for their mechanical properties such as strength and elastic modulus to achieve a comprehensive understanding and potential of the materials. A detailed structure-property correlation will allow understanding the effect of microstructural heterogeneity on the observed mechanical anisotropy and other properties.",2027-06-01,English
51425,Novel statistical models and machine learning algorithms for next-generation drug discovery,"The primary goal of this research proposal is to develop mathematically rigorous methods for quantifying uncertainty in machine learning models, emphasizing innovations like conformal prediction and nonparametric statistical techniques. Our aim is to enhance the reliability and interpretability of machine learning-driven decision making, making it more trustworthy for critical applications, particularly in drug discovery and precision medicine. Decision-making in fields like drug development often requires resource-intensive evaluation processes and multiple rounds of expensive trials. Early-stage identification of viable drug compounds is essential for efficient resource allocation. Machine learning can significantly streamline the decision-making process by providing an initial screening that narrows down the candidate pool for more detailed evaluation in later stages. In this proposal, we seek to further refine the conformal selection framework for machine learning-driven decision-making. This could be achieved through several perspectives: (i) We propose a multivariate conformal selection method that enables simultaneous candidate filtering across multiple targets, thereby preserving risk control and enhancing power. (ii) We propose that a more flexible approach would be to design a multi-category selection procedure, allowing candidates to be filtered into multiple zones that correspond to varying levels of confidence in their selection. This would provide greater adaptability in the decision-making process and better align with the practical considerations of the industry. (iii) In practice, incoming candidates for selection may differ from those used to train the machine learning prediction models, potentially violating key assumptions of our method. However, when this difference can be attributed to covariate shift, the weighted conformal selection method provides an effective solution. We will evaluate its performance in real-world drug discovery, where it could serve as a valuable extension for broader application scenarios.",2027-05-31,English
